№ Заказа,Наименование,Артикул,SPU ID,Размер в EU,Цена в CNY,Дата поступления Poizon ,Трек номер,На контроле ,Статус Onex,Плановая дата прибытия Onex,Дата прибытия рейса ,Заметка к закупке,,,Заметки,
1,New Balance 530 (MR530SG),,,37,569,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,СЕРЕБРИСТЫЕ НБШКИ530,,,,
2,New Balance 530 (MR530SG),,,37.5,589,30.05.2024,SF1637607575150,FALSE,Pick up,19.06.2024,,,,,Женская р/с 37. - 40 ,
3,New Balance 530 (MR530SG),,,37.5,589,30.05.2024,SF1637607575150,FALSE,Pick up,19.06.2024,,,,,Мужска 41 42 43 44 45 ,
4,New Balance 530 (MR530SG),,,38,579,31.05.2024,SF1664513842817,FALSE,Pick up,14.06.2024,,,,,,
5,New Balance 530 (MR530SG),,,38,579,31.05.2024,SF1664513842817,FALSE,Pick up,14.06.2024,,,,,,
6,New Balance 530 (MR530SG),,,38,579,31.05.2024,SF1664513842817,FALSE,Pick up,,,,,,,
7,New Balance 530 (MR530SG),,,38,579,31.05.2024,SF1664513842817,FALSE,Pick up,14.06.2024,,,,,,
10,New Balance 530 (MR530SG),,,38.5,589,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,,,,,
11,New Balance 530 (MR530SG),,,38.5,589,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,,,,,
12,New Balance 530 (MR530SG),,,39.5,589,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,,,,,
13,New Balance 530 (MR530SG),,,39.5,589,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,,,,,
14,New Balance 530 (MR530SG),,,41.5,589,30.05.2024,SF1637607575150,FALSE,Pick up,19.06.2024,,,,,,
15,New Balance 530 (MR530SG),,,42,599,31.05.2024,SF1683766002850,FALSE,Pick up,14.06.2024,,,,,,
16,New Balance 530 (MR530AA1(D)),,,37.5,359,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,БЕЖЕВЫЕ НБШКИ530,,,,
17,New Balance 530 (MR530AA1(D)),,,38,369,30.05.2024,SF1637607575150,FALSE,Pick up,19.06.2024,,,,,,
18,New Balance 530 (MR530AA1(D)),,,38.5,389,30.05.2024,SF1637607575150,FALSE,Pick up,19.06.2024,,,,,,
19,New Balance 530 (MR530AA1(D)),,,39.5,379,31.05.2024,SF1664512849354,FALSE,Pick up,14.06.2024,,,,,,
20,New Balance 1906R 'urbancore' (M1906RQ),,,37,639,01.06.2024,SF1613621029444,TRUE,Pick up,09.07.2024,,SF2012643987377,,,,
21,New Balance 1906R 'urbancore' (M1906RQ),,,37.5,629,01.06.2024,SF1613621029444,FALSE,Pick up,14.06.2024,,,,,,
22,New Balance 1906R 'urbancore' (M1906RQ),,,38,639,01.06.2024,SF1613621029444,FALSE,Pick up,14.06.2024,,,,,,
23,New Balance 1906R 'urbancore' (M1906RQ),,,38.5,629,01.06.2024,SF1613621029444,FALSE,Pick up,14.06.2024,,,,,,
24,New Balance 1906R 'urbancore' (M1906RQ),,,39.5,619,01.06.2024,SF3101715341460,FALSE,Pick up,14.06.2024,,,,,,
